country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46.5,44.9,38.6,42.9,47.1,48.5,50.3,48,43.7,45.7,45,47.5,43.4,41.5,,40.5,42.4,37.3,39.8,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,103,77.4,63.4,,,,,47.4,51.5,33,31.7,,22.3,26.7,24.2,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,26.4,26.9,25.3,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,55.6,,,,,,22.1,13.9,,,,42.8,,,,,,,43.6,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,54.5,63,69.9,67.2,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,30.9,28.5,31.6,,25.8,,,,,,,19.5,18.7,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,12.7,12.7,9.36,11.3,,,,,,,,,,10.4,10.9,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,14.5,13.4,14.1,13.8,12.2,11.2,,9.28,9.72,10.6,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,20.9,17.5,18,21.1,19.7,21.2,21.3,16.9,16.4,18.2,18.6,20.4,20.1,22.5,25.4,26.5,28.1,25.4,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,33.3,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25.8,26.2,23.8,24.8,22,25.3,26.8,32.1,25.5,29.2,30,26.9,,25.1,26.9,26.9,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,36.8,21.2,22.7,17.6,,,17.4,,,14.3,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,26,23.4,22,23.4,22.9,24.6,21.9,21,20.2,19.6,22.9,19.3,24.9,24.1,26.1,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11.9,11.4,10.9,12.7,13.2,,14.3,,,,15.2,16.5,,18.8,19.8,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,300,,245,200,,174,117,88.4,94.9,,108,,,97.7
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,161,,129,166,191,144,135,197,166,176,143,,131
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,25.2,25.2,23.1,24.9,21,,,,23.5,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,9.78,,12.3,12.4,,17.5,16.6,16.4,,20.9,20.4,,10.5,11.1,10.9,10.8,10.8,12,11.1
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,8.72,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,37.5,38.5,40.5,39.2,37.7,,,33.6,29.6,29.8,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,41.9,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,32.3,28.2,30.2,30.3,28.2,31.4,23.4,23.9,19,17.8,18.2,18.6,22.1,26.9,31.2,33.2,42.1,27.6,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,25.1,25,24.4,21.9,21.2,20.7,20.8,24.1,23.9,25.8,23.7,23.8,23.7,23.8,24.3,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,49.4,47.3,46.5,46.1,42.7,40,38.1,36.9,36.3,39.1,42.3,39.6,38.4,42.4,43.5,43.8,43.1,43.2,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,231,,291,,242,244,,,,,,,,128,,,,
Seychelles,,,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,39.1,18.4,8.79,,70.7,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3,103,82,,47.5,43.7,45.5,49.4,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,443,,,,,,271,259,,,,162,212,187,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,137,,,78.7,71.7,89.4,99,111,91.1,81.6,77.2,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,45.1,,35.3,31.7,,,24,23.7,27.1,,20.3,20.6,16,19.4,18.3,18.2,,,,,
